"Default Export Content Type","Default Export Content Type"
"Use Print Only If Codeable Service","Use Print Only If Codeable Service"
"Use Visual Check of Age Service","Use Visual Check of Age Service"
"Use Return Shipment Service","Use Return Shipment Service",
"Use Additional Insurance Service","Use Additional Insurance Service"
"Use Bulky Goods Service","Use Bulky Goods Service"
"Relevant for bulk actions and actions via cron. If set to <em>Yes</em>, shipment orders will only return a label if the DHL delivery address verification succeeds.","Relevant for bulk actions and actions via cron. If set to <em>Yes</em>, shipment orders will only return a label if the DHL delivery address verification succeeds."
"Relevant for bulk actions and actions via cron. If set to <em>Yes</em>, DHL will send shipment status updates to the customer.","Relevant for bulk actions and actions via cron. If set to <em>Yes</em>, DHL will send shipment status updates to the customer."
"Relevant for bulk actions and actions via cron. If enabled, the visual age check service will be booked during shipment orders.","Relevant for bulk actions and actions via cron. If enabled, the visual age check service will be booked during shipment orders."
"Relevant for bulk actions and actions via cron. If set to <em>Yes</em>, a return shipment label will be requested from the webservice.","Relevant for bulk actions and actions via cron. If set to <em>Yes</em>, a return shipment label will be requested from the webservice."
"Relevant for bulk actions and actions via cron. If set to <em>Yes</em>, shipments will be insured with higher than standard amount.","Relevant for bulk actions and actions via cron. If set to <em>Yes</em>, shipments will be insured with higher than standard amount."
"Relevant for bulk actions and actions via cron. If set to <em>Yes</em>, shipments will be marked as bulk freight.","Relevant for bulk actions and actions via cron. If set to <em>Yes</em>, shipments will be marked as bulk freight."

